소재지,년도,대중교통만족도
종로구,2007,5.96
중구,2007,5.97
용산구,2007,5.3
성동구,2007,5.52
광진구,2007,5.72
동대문구,2007,6.17
중랑구,2007,5.85
성북구,2007,5.47
강북구,2007,6.49
도봉구,2007,5.45
노원구,2007,5.36
은평구,2007,5.77
서대문구,2007,5.49
마포구,2007,5.92
양천구,2007,6.11
강서구,2007,5.95
구로구,2007,5.88
금천구,2007,5.58
영등포구,2007,5.74
동작구,2007,5.46
관악구,2007,5.67
서초구,2007,5.8
강남구,2007,5.59
송파구,2007,5.74
강동구,2007,5.96
종로구,2008,5.63
중구,2008,5.26
용산구,2008,5.9
성동구,2008,4.98
광진구,2008,5.69
동대문구,2008,5.35
중랑구,2008,5.71
성북구,2008,6.31
강북구,2008,6.33
도봉구,2008,5.58
노원구,2008,5.89
은평구,2008,6
서대문구,2008,6.19
마포구,2008,5.47
양천구,2008,5.75
강서구,2008,5.63
구로구,2008,5.98
금천구,2008,5.72
영등포구,2008,5.93
동작구,2008,6.17
관악구,2008,5.7
서초구,2008,5.84
강남구,2008,5.93
송파구,2008,6.18
강동구,2008,5.77
종로구,2009,6.09
중구,2009,5.73
용산구,2009,6.01
성동구,2009,5.94
광진구,2009,6.16
동대문구,2009,5.31
중랑구,2009,6.01
성북구,2009,6.35
강북구,2009,6.15
도봉구,2009,5.68
노원구,2009,5.44
은평구,2009,6.57
서대문구,2009,5.68
마포구,2009,5.99
양천구,2009,6.23
강서구,2009,5.82
구로구,2009,6.11
금천구,2009,6.08
영등포구,2009,6.29
동작구,2009,5.95
관악구,2009,5.88
서초구,2009,6.18
강남구,2009,6
송파구,2009,5.9
강동구,2009,6.47
종로구,2010,5.77
중구,2010,6.34
용산구,2010,6.15
성동구,2010,6.06
광진구,2010,5.77
동대문구,2010,6.01
중랑구,2010,5.98
성북구,2010,6.22
강북구,2010,6.27
도봉구,2010,5.83
노원구,2010,6.06
은평구,2010,6.36
서대문구,2010,6.06
마포구,2010,5.88
양천구,2010,6.11
강서구,2010,6.19
구로구,2010,6.59
금천구,2010,6.46
영등포구,2010,6.53
동작구,2010,6.54
관악구,2010,6.19
서초구,2010,6.47
강남구,2010,6.29
송파구,2010,6.15
강동구,2010,6.4
종로구,2011,5.96
중구,2011,6.04
용산구,2011,6.27
성동구,2011,6.13
광진구,2011,6.09
동대문구,2011,6.3
중랑구,2011,6.12
성북구,2011,6.35
강북구,2011,6.16
도봉구,2011,5.66
노원구,2011,6.29
은평구,2011,6.22
서대문구,2011,5.64
마포구,2011,6.26
양천구,2011,6.25
강서구,2011,5.63
구로구,2011,6.5
금천구,2011,6.45
영등포구,2011,6.52
동작구,2011,6.22
관악구,2011,6.36
서초구,2011,6.59
강남구,2011,6.6
송파구,2011,6.32
강동구,2011,6.31
종로구,2012,6.52
중구,2012,6.7
용산구,2012,6.06
성동구,2012,5.64
광진구,2012,5.87
동대문구,2012,5.86
중랑구,2012,5.8
성북구,2012,6.29
강북구,2012,6.9
도봉구,2012,6.58
노원구,2012,5.98
은평구,2012,6.09
서대문구,2012,6.4
마포구,2012,6.17
양천구,2012,6.34
강서구,2012,6.45
구로구,2012,6.67
금천구,2012,6.64
영등포구,2012,6.55
동작구,2012,6.78
관악구,2012,6.42
서초구,2012,6.21
강남구,2012,6.41
송파구,2012,6.68
강동구,2012,6.03
종로구,2013,5.32
중구,2013,6.66
용산구,2013,5.8
성동구,2013,6.22
광진구,2013,6.42
동대문구,2013,6.53
중랑구,2013,5.69
성북구,2013,6.95
강북구,2013,6.79
도봉구,2013,6.38
노원구,2013,6.83
은평구,2013,6.87
서대문구,2013,6.14
마포구,2013,6.27
양천구,2013,6.24
강서구,2013,6.36
구로구,2013,6.38
금천구,2013,6
영등포구,2013,6.17
동작구,2013,6.49
관악구,2013,6.88
서초구,2013,6.31
강남구,2013,6.29
송파구,2013,6.43
강동구,2013,6.22
종로구,2014,6.68
중구,2014,6.63
용산구,2014,6.42
성동구,2014,6.22
광진구,2014,6.51
동대문구,2014,6.45
중랑구,2014,6.45
성북구,2014,6.64
강북구,2014,6.75
도봉구,2014,6.22
노원구,2014,6.54
은평구,2014,6.38
서대문구,2014,6.16
마포구,2014,6.02
양천구,2014,6.77
강서구,2014,5.96
구로구,2014,6.14
금천구,2014,6.42
영등포구,2014,6.76
동작구,2014,6.56
관악구,2014,6.36
서초구,2014,6.53
강남구,2014,6.98
송파구,2014,6.35
강동구,2014,7
종로구,2015,6.68
중구,2015,6.55
용산구,2015,6.46
성동구,2015,6.24
광진구,2015,6.61
동대문구,2015,6.45
중랑구,2015,6.38
성북구,2015,6.92
강북구,2015,6.75
도봉구,2015,6.21
노원구,2015,6.74
은평구,2015,6.71
서대문구,2015,6.07
마포구,2015,6.08
양천구,2015,6.86
강서구,2015,6.3
구로구,2015,6.88
금천구,2015,6.81
영등포구,2015,6.66
동작구,2015,6.5
관악구,2015,6.43
서초구,2015,6.7
강남구,2015,6.83
송파구,2015,6.83
강동구,2015,6.72
종로구,2016,6.49
중구,2016,6.47
용산구,2016,6.2
성동구,2016,6.44
광진구,2016,6.49
동대문구,2016,6.59
중랑구,2016,6.36
성북구,2016,6.32
강북구,2016,6.18
도봉구,2016,6.61
노원구,2016,6.52
은평구,2016,6.36
서대문구,2016,6.52
마포구,2016,6.28
양천구,2016,6.24
강서구,2016,6.62
구로구,2016,6.47
금천구,2016,6.59
영등포구,2016,6.38
동작구,2016,6.31
관악구,2016,6.31
서초구,2016,6.35
강남구,2016,6.45
송파구,2016,6.2
강동구,2016,6.27
종로구,2018,6.07
중구,2018,7.2
용산구,2018,7.09
성동구,2018,6.42
광진구,2018,6.87
동대문구,2018,6.01
중랑구,2018,6.74
성북구,2018,6.08
강북구,2018,6.85
도봉구,2018,6.7
노원구,2018,6.55
은평구,2018,6.84
서대문구,2018,6.1
마포구,2018,6.64
양천구,2018,6.38
강서구,2018,6.92
구로구,2018,6.93
금천구,2018,6.88
영등포구,2018,6.66
동작구,2018,6.32
관악구,2018,6.74
서초구,2018,6.48
강남구,2018,6.38
송파구,2018,6.76
강동구,2018,6.92
종로구,2019,6.5
중구,2019,6.63
용산구,2019,6.59
성동구,2019,6.91
광진구,2019,7.07
동대문구,2019,6.51
중랑구,2019,6.83
성북구,2019,6.17
강북구,2019,6.4
도봉구,2019,7.11
노원구,2019,6.66
은평구,2019,6.65
서대문구,2019,6.71
마포구,2019,6.97
양천구,2019,6.33
강서구,2019,7.06
구로구,2019,6.64
금천구,2019,7.05
영등포구,2019,6.41
동작구,2019,6.74
관악구,2019,6.75
서초구,2019,6.57
강남구,2019,6.65
송파구,2019,7.09
강동구,2019,6.45
종로구,2020,6.71
중구,2020,7.03
용산구,2020,6.79
성동구,2020,6.72
광진구,2020,6.68
동대문구,2020,6.68
중랑구,2020,6.84
성북구,2020,7.01
강북구,2020,6.47
도봉구,2020,6.81
노원구,2020,6.69
은평구,2020,6.75
서대문구,2020,6.88
마포구,2020,6.71
양천구,2020,6.69
강서구,2020,7.08
구로구,2020,7.13
금천구,2020,6.77
영등포구,2020,6.58
동작구,2020,6.61
관악구,2020,6.85
서초구,2020,6.77
강남구,2020,6.94
송파구,2020,6.85
강동구,2020,6.9
종로구,2021,6.65
중구,2021,6.99
용산구,2021,6.83
성동구,2021,6.9
광진구,2021,6.92
동대문구,2021,6.83
중랑구,2021,6.71
성북구,2021,6.99
강북구,2021,6.79
도봉구,2021,6.83
노원구,2021,6.87
은평구,2021,6.74
서대문구,2021,7.05
마포구,2021,6.95
양천구,2021,6.69
강서구,2021,6.87
구로구,2021,6.88
금천구,2021,6.87
영등포구,2021,6.8
동작구,2021,6.8
관악구,2021,6.83
서초구,2021,6.85
강남구,2021,6.93
송파구,2021,7.03
강동구,2021,6.75
종로구,2022,6.97
중구,2022,6.75
용산구,2022,7
성동구,2022,7.03
광진구,2022,6.35
동대문구,2022,6.89
중랑구,2022,6.39
성북구,2022,7.01
강북구,2022,7.07
도봉구,2022,7.43
노원구,2022,6.75
은평구,2022,6.63
서대문구,2022,6.5
마포구,2022,6.31
양천구,2022,5.93
강서구,2022,6.94
구로구,2022,6.7
금천구,2022,6.74
영등포구,2022,5.54
동작구,2022,6.65
관악구,2022,6.66
서초구,2022,6.75
강남구,2022,5.96
송파구,2022,7.01
강동구,2022,6.85
