소재지,년도,총합,문예회관,종합사회복지관,구민(다목적)체육시설,청소년수련시설
종로구,2007,6,2,1,2,1
중구,2007,11,1,2,1,7
용산구,2007,5,0,2,1,2
성동구,2007,5,0,2,1,2
광진구,2007,6,1,3,1,1
동대문구,2007,6,1,2,2,1
중랑구,2007,8,0,4,2,2
성북구,2007,8,0,5,2,1
강북구,2007,10,1,4,2,3
도봉구,2007,9,0,3,1,5
노원구,2007,12,1,8,1,2
은평구,2007,6,1,3,1,1
서대문구,2007,7,1,3,1,2
마포구,2007,3,1,2,0,0
양천구,2007,11,0,5,2,4
강서구,2007,14,0,10,1,3
구로구,2007,5,0,3,1,1
금천구,2007,5,0,2,1,2
영등포구,2007,9,1,2,1,5
동작구,2007,12,0,6,2,4
관악구,2007,11,1,5,2,3
서초구,2007,8,0,4,1,3
강남구,2007,12,0,6,3,3
송파구,2007,11,1,6,1,3
강동구,2007,4,0,2,1,1
종로구,2008,6,2,1,2,1
중구,2008,10,1,2,1,6
용산구,2008,5,0,2,1,2
성동구,2008,5,0,2,1,2
광진구,2008,7,1,3,2,1
동대문구,2008,6,1,2,2,1
중랑구,2008,9,0,4,3,2
성북구,2008,8,0,5,2,1
강북구,2008,10,1,4,2,3
도봉구,2008,9,0,3,1,5
노원구,2008,12,1,8,1,2
은평구,2008,6,1,3,1,1
서대문구,2008,7,1,3,1,2
마포구,2008,4,1,2,0,1
양천구,2008,12,0,5,3,4
강서구,2008,15,0,10,1,4
구로구,2008,6,1,3,1,1
금천구,2008,5,1,2,1,1
영등포구,2008,9,1,2,1,5
동작구,2008,12,0,6,2,4
관악구,2008,10,1,5,2,2
서초구,2008,8,0,4,1,3
강남구,2008,12,0,6,3,3
송파구,2008,11,1,6,1,3
강동구,2008,4,0,2,1,1
종로구,2009,6,2,1,2,1
중구,2009,10,1,2,1,6
용산구,2009,5,0,2,1,2
성동구,2009,6,0,2,2,2
광진구,2009,7,1,3,2,1
동대문구,2009,6,1,2,2,1
중랑구,2009,9,0,4,3,2
성북구,2009,8,0,5,2,1
강북구,2009,10,1,4,2,3
도봉구,2009,9,0,3,1,5
노원구,2009,12,1,8,1,2
은평구,2009,6,1,3,1,1
서대문구,2009,7,1,3,1,2
마포구,2009,4,1,2,0,1
양천구,2009,12,0,5,3,4
강서구,2009,15,0,10,1,4
구로구,2009,6,1,3,1,1
금천구,2009,5,1,2,1,1
영등포구,2009,10,1,2,1,6
동작구,2009,12,0,6,2,4
관악구,2009,10,1,5,2,2
서초구,2009,8,0,4,1,3
강남구,2009,12,0,6,3,3
송파구,2009,11,1,6,1,3
강동구,2009,4,0,2,1,1
종로구,2010,6,2,1,2,1
중구,2010,10,1,2,1,6
용산구,2010,6,1,2,1,2
성동구,2010,6,0,2,2,2
광진구,2010,7,1,3,2,1
동대문구,2010,6,1,2,2,1
중랑구,2010,9,0,4,3,2
성북구,2010,8,0,5,2,1
강북구,2010,10,1,4,2,3
도봉구,2010,9,0,3,1,5
노원구,2010,12,1,8,1,2
은평구,2010,6,1,3,1,1
서대문구,2010,7,1,3,1,2
마포구,2010,5,1,2,0,2
양천구,2010,12,0,5,3,4
강서구,2010,15,0,10,1,4
구로구,2010,6,1,3,1,1
금천구,2010,5,1,2,1,1
영등포구,2010,11,1,2,1,7
동작구,2010,12,0,6,2,4
관악구,2010,10,1,5,2,2
서초구,2010,8,0,4,1,3
강남구,2010,12,0,6,3,3
송파구,2010,10,0,6,1,3
강동구,2010,4,0,2,1,1
종로구,2011,6,2,1,2,1
중구,2011,10,1,2,1,6
용산구,2011,6,1,2,1,2
성동구,2011,6,0,2,2,2
광진구,2011,7,1,3,2,1
동대문구,2011,6,1,2,2,1
중랑구,2011,9,0,4,3,2
성북구,2011,8,0,5,2,1
강북구,2011,11,1,5,2,3
도봉구,2011,9,0,3,1,5
노원구,2011,12,1,8,1,2
은평구,2011,6,1,3,1,1
서대문구,2011,7,1,3,1,2
마포구,2011,5,1,2,0,2
양천구,2011,12,0,5,3,4
강서구,2011,15,0,10,1,4
구로구,2011,6,1,3,1,1
금천구,2011,5,1,2,1,1
영등포구,2011,11,1,2,1,7
동작구,2011,12,0,6,2,4
관악구,2011,10,1,5,2,2
서초구,2011,8,0,4,1,3
강남구,2011,12,0,6,3,3
송파구,2011,10,0,6,1,3
강동구,2011,5,1,2,1,1
종로구,2012,6,2,1,2,1
중구,2012,10,1,3,2,4
용산구,2012,6,1,2,1,2
성동구,2012,8,1,3,2,2
광진구,2012,7,1,3,2,1
동대문구,2012,6,1,2,2,1
중랑구,2012,9,0,4,3,2
성북구,2012,8,0,5,2,1
강북구,2012,11,1,5,2,3
도봉구,2012,9,0,3,1,5
노원구,2012,14,1,8,2,3
은평구,2012,7,1,3,2,1
서대문구,2012,8,1,3,2,2
마포구,2012,6,1,2,1,2
양천구,2012,12,0,5,3,4
강서구,2012,14,0,10,1,3
구로구,2012,7,1,3,2,1
금천구,2012,5,1,2,1,1
영등포구,2012,12,1,2,2,7
동작구,2012,12,0,6,2,4
관악구,2012,10,1,5,2,2
서초구,2012,9,0,4,2,3
강남구,2012,13,0,6,3,4
송파구,2012,11,1,6,1,3
강동구,2012,5,1,2,1,1
종로구,2013,6,2,1,2,1
중구,2013,10,1,3,2,4
용산구,2013,6,1,2,1,2
성동구,2013,9,2,3,2,2
광진구,2013,7,1,3,2,1
동대문구,2013,5,0,2,2,1
중랑구,2013,9,0,4,3,2
성북구,2013,8,0,5,2,1
강북구,2013,11,1,5,2,3
도봉구,2013,10,0,3,1,6
노원구,2013,15,2,8,2,3
은평구,2013,8,1,3,2,2
서대문구,2013,8,1,3,2,2
마포구,2013,8,1,2,2,3
양천구,2013,12,0,5,3,4
강서구,2013,15,0,10,2,3
구로구,2013,7,1,3,2,1
금천구,2013,5,1,2,1,1
영등포구,2013,11,1,2,2,6
동작구,2013,12,0,6,2,4
관악구,2013,10,1,5,2,2
서초구,2013,9,0,4,2,3
강남구,2013,13,0,6,3,4
송파구,2013,10,0,6,1,3
강동구,2013,5,1,2,1,1
종로구,2014,6,2,1,2,1
중구,2014,10,1,3,2,4
용산구,2014,6,1,2,1,2
성동구,2014,9,2,3,2,2
광진구,2014,7,1,3,2,1
동대문구,2014,5,0,2,2,1
중랑구,2014,9,0,4,3,2
성북구,2014,8,0,5,2,1
강북구,2014,10,1,5,2,2
도봉구,2014,10,0,3,1,6
노원구,2014,13,2,8,1,2
은평구,2014,8,1,3,2,2
서대문구,2014,7,1,3,1,2
마포구,2014,8,1,2,1,4
양천구,2014,11,0,5,3,3
강서구,2014,14,0,10,1,3
구로구,2014,7,1,3,2,1
금천구,2014,5,1,2,1,1
영등포구,2014,11,1,2,2,6
동작구,2014,12,0,6,2,4
관악구,2014,10,1,5,2,2
서초구,2014,9,0,4,2,3
강남구,2014,13,0,6,3,4
송파구,2014,10,0,6,1,3
강동구,2014,5,1,2,1,1
종로구,2015,5,2,1,2,0
중구,2015,10,1,3,2,4
용산구,2015,6,1,2,1,2
성동구,2015,9,2,3,2,2
광진구,2015,7,1,3,2,1
동대문구,2015,5,0,2,2,1
중랑구,2015,9,0,4,3,2
성북구,2015,8,0,5,2,1
강북구,2015,10,1,5,2,2
도봉구,2015,10,0,3,1,6
노원구,2015,13,2,8,1,2
은평구,2015,8,1,3,2,2
서대문구,2015,7,1,3,1,2
마포구,2015,9,1,2,2,4
양천구,2015,11,0,5,3,3
강서구,2015,15,0,10,2,3
구로구,2015,8,1,3,2,2
금천구,2015,5,1,2,1,1
영등포구,2015,11,1,2,2,6
동작구,2015,12,0,6,2,4
관악구,2015,10,1,5,2,2
서초구,2015,9,0,4,2,3
강남구,2015,13,0,6,3,4
송파구,2015,10,0,6,1,3
강동구,2015,5,1,2,1,1
종로구,2016,5,2,1,2,0
중구,2016,10,1,3,2,4
용산구,2016,6,1,2,1,2
성동구,2016,9,2,3,2,2
광진구,2016,7,1,3,2,1
동대문구,2016,5,0,2,2,1
중랑구,2016,9,0,4,3,2
성북구,2016,8,0,5,2,1
강북구,2016,10,1,5,2,2
도봉구,2016,9,0,3,1,5
노원구,2016,13,2,8,1,2
은평구,2016,8,1,3,2,2
서대문구,2016,7,1,3,1,2
마포구,2016,9,1,2,2,4
양천구,2016,11,0,5,3,3
강서구,2016,15,0,10,2,3
구로구,2016,8,1,3,2,2
금천구,2016,5,1,2,1,1
영등포구,2016,11,1,2,2,6
동작구,2016,12,0,6,2,4
관악구,2016,10,1,5,2,2
서초구,2016,9,0,4,2,3
강남구,2016,13,0,6,3,4
송파구,2016,10,0,6,1,3
강동구,2016,5,1,2,1,1
종로구,2017,5,2,1,2,0
중구,2017,10,1,3,2,4
용산구,2017,6,1,2,1,2
성동구,2017,9,2,3,2,2
광진구,2017,7,1,3,2,1
동대문구,2017,5,0,2,2,1
중랑구,2017,9,0,4,3,2
성북구,2017,8,0,5,2,1
강북구,2017,10,1,5,2,2
도봉구,2017,9,0,3,1,5
노원구,2017,15,2,9,2,2
은평구,2017,8,1,3,2,2
서대문구,2017,8,1,3,2,2
마포구,2017,9,1,2,2,4
양천구,2017,11,0,5,3,3
강서구,2017,15,0,10,2,3
구로구,2017,8,1,3,2,2
금천구,2017,5,1,2,1,1
영등포구,2017,10,1,2,2,5
동작구,2017,12,0,6,2,4
관악구,2017,10,1,5,2,2
서초구,2017,8,0,4,2,2
강남구,2017,13,0,6,3,4
송파구,2017,10,0,6,1,3
강동구,2017,5,1,2,1,1
종로구,2018,5,1,1,3,0
중구,2018,15,1,3,7,4
용산구,2018,7,1,2,1,3
성동구,2018,12,2,3,5,2
광진구,2018,7,1,3,2,1
동대문구,2018,6,0,2,3,1
중랑구,2018,11,0,4,5,2
성북구,2018,9,0,5,2,2
강북구,2018,9,1,4,2,2
도봉구,2018,10,0,3,2,5
노원구,2018,16,1,9,2,4
은평구,2018,10,1,3,2,4
서대문구,2018,9,1,3,3,2
마포구,2018,10,1,2,3,4
양천구,2018,12,1,5,4,2
강서구,2018,17,0,10,4,3
구로구,2018,10,1,3,4,2
금천구,2018,5,1,2,1,1
영등포구,2018,10,1,2,2,5
동작구,2018,12,0,6,2,4
관악구,2018,11,1,5,3,2
서초구,2018,13,1,4,6,2
강남구,2018,13,0,6,3,4
송파구,2018,12,0,6,2,4
강동구,2018,9,1,2,5,1
종로구,2019,5,1,1,3,0
중구,2019,15,1,3,7,4
용산구,2019,7,1,2,1,3
성동구,2019,12,2,3,5,2
광진구,2019,8,1,3,3,1
동대문구,2019,6,0,2,3,1
중랑구,2019,11,0,4,5,2
성북구,2019,9,0,5,2,2
강북구,2019,9,1,4,2,2
도봉구,2019,10,0,3,2,5
노원구,2019,16,1,9,2,4
은평구,2019,10,1,3,2,4
서대문구,2019,9,1,3,3,2
마포구,2019,10,1,2,3,4
양천구,2019,12,1,5,4,2
강서구,2019,17,0,10,4,3
구로구,2019,10,1,3,4,2
금천구,2019,7,1,2,3,1
영등포구,2019,10,1,2,2,5
동작구,2019,12,0,6,2,4
관악구,2019,11,1,5,3,2
서초구,2019,13,1,4,6,2
강남구,2019,13,0,6,3,4
송파구,2019,12,0,6,2,4
강동구,2019,9,1,2,5,1
종로구,2020,5,1,1,3,0
중구,2020,15,1,3,7,4
용산구,2020,7,1,2,1,3
성동구,2020,12,2,3,5,2
광진구,2020,8,1,3,3,1
동대문구,2020,6,0,2,3,1
중랑구,2020,11,0,4,5,2
성북구,2020,9,0,5,2,2
강북구,2020,9,1,4,2,2
도봉구,2020,10,0,3,2,5
노원구,2020,16,1,9,2,4
은평구,2020,10,1,3,2,4
서대문구,2020,10,1,3,4,2
마포구,2020,10,1,2,3,4
양천구,2020,12,1,5,4,2
강서구,2020,17,0,10,4,3
구로구,2020,10,1,3,4,2
금천구,2020,7,1,2,3,1
영등포구,2020,10,1,2,2,5
동작구,2020,12,0,6,2,4
관악구,2020,11,1,5,3,2
서초구,2020,13,1,4,6,2
강남구,2020,13,0,6,3,4
송파구,2020,13,0,6,2,5
강동구,2020,9,1,2,5,1
종로구,2021,5,1,1,3,0
중구,2021,15,1,3,7,4
용산구,2021,8,1,2,2,3
성동구,2021,11,2,3,4,2
광진구,2021,9,1,3,4,1
동대문구,2021,6,0,2,3,1
중랑구,2021,8,0,4,2,2
성북구,2021,11,0,5,3,3
강북구,2021,9,1,4,2,2
도봉구,2021,11,0,3,2,6
노원구,2021,16,1,9,2,4
은평구,2021,10,1,3,2,4
서대문구,2021,9,1,3,3,2
마포구,2021,11,1,3,3,4
양천구,2021,12,1,5,4,2
강서구,2021,19,0,10,6,3
구로구,2021,12,1,3,5,3
금천구,2021,8,1,2,3,2
영등포구,2021,10,1,2,2,5
동작구,2021,13,0,6,4,3
관악구,2021,11,1,5,3,2
서초구,2021,13,1,4,6,2
강남구,2021,14,0,6,4,4
송파구,2021,12,0,6,1,5
강동구,2021,8,1,2,4,1
