소재지,년도,용도지역현황
종로구,2010,"3,749,385"
중구,2010,"3,297,561"
용산구,2010,"1,483,904"
성동구,2010,"208,841"
광진구,2010,"196,503"
동대문구,2010,"857,232"
중랑구,2010,"114,400"
성북구,2010,"838,383"
강북구,2010,"320,000"
도봉구,2010,"300,000"
노원구,2010,"568,760"
은평구,2010,"286,880"
서대문구,2010,"200,050"
마포구,2010,"395,858"
양천구,2010,"560,000"
강서구,2010,"1,162,753"
구로구,2010,"523,690"
금천구,2010,"130,000"
영등포구,2010,"2,398,452"
동작구,2010,"193,203"
관악구,2010,"350,000"
서초구,2010,"1,340,154"
강남구,2010,"2,249,993"
송파구,2010,"1,057,762"
강동구,2010,"518,407"
종로구,2011,"3,749,385"
중구,2011,"3,297,561"
용산구,2011,"1,483,904"
성동구,2011,"208,841"
광진구,2011,"196,503"
동대문구,2011,"857,232"
중랑구,2011,"114,400"
성북구,2011,"838,383"
강북구,2011,"322,150"
도봉구,2011,"300,000"
노원구,2011,"568,760"
은평구,2011,"286,948"
서대문구,2011,"200,050"
마포구,2011,"395,858"
양천구,2011,"560,000"
강서구,2011,"1,164,390"
구로구,2011,"523,690"
금천구,2011,"130,000"
영등포구,2011,"2,399,146"
동작구,2011,"193,203"
관악구,2011,"350,000"
서초구,2011,"1,340,154"
강남구,2011,"2,320,955"
송파구,2011,"1,057,762"
강동구,2011,"518,407"
종로구,2012,"3,749,385"
중구,2012,"3,297,561"
용산구,2012,"1,490,319"
성동구,2012,"208,841"
광진구,2012,"196,503"
동대문구,2012,"875,352"
중랑구,2012,"114,400"
성북구,2012,"838,383"
강북구,2012,"322,150"
도봉구,2012,"300,000"
노원구,2012,"568,760"
은평구,2012,"286,948"
서대문구,2012,"200,050"
마포구,2012,"395,858"
양천구,2012,"560,000"
강서구,2012,"1,009,599"
구로구,2012,"523,690"
금천구,2012,"130,000"
영등포구,2012,"2,399,146"
동작구,2012,"191,785"
관악구,2012,"350,000"
서초구,2012,"1,340,154"
강남구,2012,"2,320,955"
송파구,2012,"1,057,762"
강동구,2012,"518,407"
종로구,2013,"3,730,000"
중구,2013,"3,297,561"
용산구,2013,"1,490,319"
성동구,2013,"208,841"
광진구,2013,"196,503"
동대문구,2013,"875,352"
중랑구,2013,"114,400"
성북구,2013,"838,383"
강북구,2013,"322,150"
도봉구,2013,"300,000"
노원구,2013,"568,760"
은평구,2013,"286,948"
서대문구,2013,"200,050"
마포구,2013,"395,857"
양천구,2013,"560,000"
강서구,2013,"1,009,599"
구로구,2013,"523,690"
금천구,2013,"130,000"
영등포구,2013,"2,399,146"
동작구,2013,"191,785"
관악구,2013,"350,000"
서초구,2013,"1,340,154"
강남구,2013,"2,320,955"
송파구,2013,"1,026,865"
강동구,2013,"518,407"
종로구,2014,"3,730,000"
중구,2014,"3,293,646"
용산구,2014,"1,490,319"
성동구,2014,"208,841"
광진구,2014,"196,503"
동대문구,2014,"870,279"
중랑구,2014,"114,400"
성북구,2014,"838,383"
강북구,2014,"322,150"
도봉구,2014,"300,000"
노원구,2014,"568,760"
은평구,2014,"286,948"
서대문구,2014,"200,050"
마포구,2014,"395,858"
양천구,2014,"560,000"
강서구,2014,"1,009,599"
구로구,2014,"473,561"
금천구,2014,"130,000"
영등포구,2014,"2,399,146"
동작구,2014,"191,785"
관악구,2014,"350,000"
서초구,2014,"1,340,154"
강남구,2014,"2,320,955"
송파구,2014,"1,067,788"
강동구,2014,"518,329"
종로구,2015,"2,937,285"
중구,2015,"3,590,304"
용산구,2015,"1,237,935"
성동구,2015,"397,688"
광진구,2015,"193,152"
동대문구,2015,"745,441"
중랑구,2015,"255,092"
성북구,2015,"332,833"
강북구,2015,"270,342"
도봉구,2015,"244,894"
노원구,2015,"589,023"
은평구,2015,"424,789"
서대문구,2015,"274,391"
마포구,2015,"753,951"
양천구,2015,"733,026"
강서구,2015,"992,742"
구로구,2015,"513,589"
금천구,2015,"102,906"
영등포구,2015,"2,597,140"
동작구,2015,"267,548"
관악구,2015,"390,187"
서초구,2015,"1,317,259"
강남구,2015,"1,676,116"
송파구,2015,"1,176,981"
강동구,2015,"575,847"
종로구,2016,"2,937,285"
중구,2016,"3,590,304"
용산구,2016,"1,237,935"
성동구,2016,"397,688"
광진구,2016,"193,152"
동대문구,2016,"745,441"
중랑구,2016,"255,092"
성북구,2016,"332,833"
강북구,2016,"270,342"
도봉구,2016,"244,894"
노원구,2016,"589,023"
은평구,2016,"424,789"
서대문구,2016,"274,391"
마포구,2016,"753,951"
양천구,2016,"733,026"
강서구,2016,"992,742"
구로구,2016,"513,589"
금천구,2016,"102,906"
영등포구,2016,"2,559,127"
동작구,2016,"267,548"
관악구,2016,"390,187"
서초구,2016,"1,317,259"
강남구,2016,"1,676,116"
송파구,2016,"1,176,981"
강동구,2016,"575,847"
종로구,2018,"2,937,285"
중구,2018,"3,590,304"
용산구,2018,"1,260,795"
성동구,2018,"397,688"
광진구,2018,"201,658"
동대문구,2018,"745,441"
중랑구,2018,"255,092"
성북구,2018,"332,833"
강북구,2018,"270,342"
도봉구,2018,"239,431"
노원구,2018,"589,023"
은평구,2018,"410,949"
서대문구,2018,"274,391"
마포구,2018,"757,236"
양천구,2018,"733,026"
강서구,2018,"992,742"
구로구,2018,"513,589"
금천구,2018,"102,906"
영등포구,2018,"2,559,127"
동작구,2018,"267,548"
관악구,2018,"390,187"
서초구,2018,"1,320,064"
강남구,2018,"1,875,445"
송파구,2018,"1,178,942"
강동구,2018,"581,570"
종로구,2019,"2,937,285"
중구,2019,"3,590,304"
용산구,2019,"1,260,795"
성동구,2019,"397,688"
광진구,2019,"203,281"
동대문구,2019,"745,441"
중랑구,2019,"255,092"
성북구,2019,"332,833"
강북구,2019,"270,342"
도봉구,2019,"239,431"
노원구,2019,"590,480"
은평구,2019,"419,019"
서대문구,2019,"274,391"
마포구,2019,"757,236"
양천구,2019,"733,026"
강서구,2019,"992,742"
구로구,2019,"513,589"
금천구,2019,"102,906"
영등포구,2019,"2,559,127"
동작구,2019,"267,548"
관악구,2019,"392,024"
서초구,2019,"1,322,182"
강남구,2019,"1,946,139"
송파구,2019,"1,180,453"
강동구,2019,"582,922"
종로구,2020,"2,937,285"
중구,2020,"3,590,304"
용산구,2020,"1,260,795"
성동구,2020,"397,688"
광진구,2020,"203,281"
동대문구,2020,"745,441"
중랑구,2020,"255,092"
성북구,2020,"332,833"
강북구,2020,"272,237"
도봉구,2020,"239,431"
노원구,2020,"590,480"
은평구,2020,"422,289"
서대문구,2020,"274,391"
마포구,2020,"757,236"
양천구,2020,"733,026"
강서구,2020,"992,742"
구로구,2020,"513,589"
금천구,2020,"102,906"
영등포구,2020,"2,559,127"
동작구,2020,"267,548"
관악구,2020,"392,024"
서초구,2020,"1,322,182"
강남구,2020,"1,946,139"
송파구,2020,"1,182,622"
강동구,2020,"582,922"
종로구,2021,"2,937,285"
중구,2021,"3,590,304"
용산구,2021,"1,260,795"
성동구,2021,"407,382"
광진구,2021,"206,616"
동대문구,2021,"745,441"
중랑구,2021,"260,602"
성북구,2021,"334,356"
강북구,2021,"272,237"
도봉구,2021,"239,431"
노원구,2021,"595,751"
은평구,2021,"430,859"
서대문구,2021,"274,391"
마포구,2021,"757,236"
양천구,2021,"733,026"
강서구,2021,"992,742"
구로구,2021,"513,589"
금천구,2021,"102,906"
영등포구,2021,"2,559,127"
동작구,2021,"268,974"
관악구,2021,"392,024"
서초구,2021,"1,322,182"
강남구,2021,"1,947,150"
송파구,2021,"1,182,622"
강동구,2021,"585,797"
종로구,2017,"2,937,285"
중구,2017,"3,590,304"
용산구,2017,"1,245,008"
성동구,2017,"397,688"
광진구,2017,"201,658"
동대문구,2017,"745,441"
중랑구,2017,"255,092"
성북구,2017,"332,833"
강북구,2017,"270,342"
도봉구,2017,"239,431"
노원구,2017,"589,023"
은평구,2017,"424,789"
서대문구,2017,"274,391"
마포구,2017,"757,236"
양천구,2017,"733,026"
강서구,2017,"992,742"
구로구,2017,"513,589"
금천구,2017,"102,906"
영등포구,2017,"2,559,127"
동작구,2017,"267,548"
관악구,2017,"390,187"
서초구,2017,"1,320,064"
강남구,2017,"1,677,285"
송파구,2017,"1,178,942"
강동구,2017,"575,847"
