소재지,매우 불만족/2007,약간 불만족/2007,보통/2007,약간 만족/2007,매우 만족/2007,매우 불만족/2008,약간 불만족/2008,보통/2008,약간 만족/2008,매우 만족/2008,매우 불만족/2009,약간 불만족/2009,보통/2009,약간 만족/2009,매우 만족/2009,매우 불만족/2010,약간 불만족/2010,보통/2010,약간 만족/2010,매우 만족/2010,매우 불만족/2012,약간 불만족/2012,보통/2012,약간 만족/2012,매우 만족/2012,매우 불만족/2014,약간 불만족/2014,보통/2014,약간 만족/2014,매우 만족/2014,매우 불만족/2016,약간 불만족/2016,보통/2016,약간 만족/2016,매우 만족/2016,매우 불만족/2018,약간 불만족/2018,보통/2018,약간 만족/2018,매우 만족/2018,매우 불만족/2019,약간 불만족/2019,보통/2019,약간 만족/2019,매우 만족/2019,매우 불만족/2020,약간 불만족/2020,보통/2020,약간 만족/2020,매우 만족/2020,매우 불만족/2021,약간 불만족/2021,보통/2021,약간 만족/2021,매우 만족/2021,매우 불만족/2022,약간 불만족/2022,보통/2022,약간 만족/2022,매우 만족/2022
종로구,4.8,8.2,42.5,34.9,9.6,5.4,9.9,53.1,30.1,1.5,1.1,5.9,47.5,40.6,4.9,0.2,5.8,34.7,47.4,11.8,3.5,14.4,22.6,34,25.5,-,5.4,47.8,46.5,0.3,0.8,7.7,27.1,56.6,7.8,1.6,15.4,54.7,25,3.3,0.7,3.8,54.4,37.9,3.2,1.1,8.1,56.6,26.6,7.6,2.9,10.1,44.8,33.1,9.2,1.7,3.8,45.1,44.5,4.9
중구,4.1,14.6,47.9,27.7,5.6,3.6,18.8,51.3,21.7,4.5,0.2,10.8,60.8,25.8,2.4,1.3,11.5,30.4,47.7,9.2,0.8,7.6,23.6,31.3,36.7,0.9,10.8,46.1,39.9,2.3,0.5,6.7,25.4,64.1,3.5,0.7,10.8,46.2,39.6,2.7,0.4,17.6,30.2,48.5,3.2,1.9,14.4,30.5,42.6,10.7,1,8.6,44.3,37.9,8.1,1.2,6.9,42,40.8,9.1
용산구,5.8,9.1,41.9,33.2,10,0.1,9.9,63.6,26.3,-,6.6,19,43.6,19.8,11.1,4.3,13.5,33.2,43.4,5.7,2.1,8.7,18.1,31.9,39.2,0.6,4.1,58.9,34.3,2.2,1.6,5.6,31.6,54.5,6.7,2.4,7,38.8,46.1,5.7,0.4,9.7,64.3,17.6,7.9,1.6,11.4,44,30.4,12.6,2,14.1,40.5,30,13.5,0.1,6.4,41.3,45.3,6.8
성동구,4.4,8.6,38.7,35.7,12.6,1.8,17.3,52.5,25.7,2.7,0.9,6.3,50.4,37,5.3,1.8,9,29.4,51.1,8.7,2.1,18.4,21.2,54.9,3.4,0.7,5.6,48.2,41.5,3.9,1.3,8.6,28.3,56,5.9,2.2,8.8,38.6,47.7,2.6,1,9.4,57,31.1,1.5,1.1,13.7,40.8,33.6,10.8,3.9,11.3,35.1,34.8,14.9,0.6,4,40.4,48.4,6.5
광진구,4.8,10.9,37.9,36.9,9.6,4,12.1,42.9,33.4,7.6,1.7,4.3,48.1,38,8,3.1,7.7,32.1,42.8,14.3,3.3,11.9,9.9,72.9,1.9,0.5,7.9,46.5,43.3,1.8,1.5,6.9,33.2,53.3,5,0.8,8.5,33.7,52.1,4.9,0.8,12.5,40.3,41.3,5.1,2.2,14.4,39.5,31.6,12.3,1.4,12.6,40,33,13,0,2.8,72.4,23.4,1.3
동대문구,3.2,16.5,51.3,26,3,2.9,14.3,66.3,16.2,0.4,2.3,9.3,55.5,29.7,3.2,1.9,8.6,38.4,41.6,9.4,3.4,8.8,16.6,67.3,3.9,0.6,9.9,50.4,35.6,3.5,1.4,11.8,28.3,45.7,12.8,2.7,16.7,43,35.9,1.8,0.5,13.2,54.2,30.7,1.3,2.8,14.4,42.2,33.9,6.7,2.5,11.1,43.7,30.4,12.3,1.2,8.9,52.3,23.3,14.4
중랑구,4.3,10.7,50.3,29.8,4.8,6.3,9.7,45.4,31,7.6,0.2,2,55.2,37.4,5.2,1.1,9.5,34.5,42.5,12.3,1.2,9.1,12.5,49.6,27.6,0.6,5.1,40.8,49.2,4.3,0.7,7.6,25.3,58.3,8.1,0.9,13.9,42.9,40.5,1.8,1.3,7.4,44.5,34.7,12.1,2.8,11.9,37.7,40.9,6.6,2.8,13.6,47.5,27.1,9,0.1,12.7,47.5,30.2,9.5
성북구,11.2,20.5,38.9,23.1,6.4,5.7,10.2,57.6,25.8,0.7,1,6.2,62.4,28.3,2,0.5,9.4,54.7,31.5,3.9,2.1,7.4,18,43.1,29.4,0.7,6.1,51.7,38.5,3,1.2,4.9,25.2,57.7,11,0.2,12.1,46.2,39.9,1.6,0.7,9.1,62.5,26.9,0.8,2.3,10.7,42.4,38.4,6.2,3.8,11.5,40.8,32.9,11,0.5,5.7,56.4,31.1,6.4
강북구,1,8.7,48.8,29.1,12.4,2.4,14.6,34,44.8,4.1,3.1,11.2,44.6,33.6,7.4,1.8,18.2,36.7,31.8,11.5,0.5,5.5,20.9,70,3.2,1.6,9.6,47.4,36.3,5.1,1.5,10,28.3,48.6,11.6,3.5,14.4,48.3,27.9,5.8,0.4,2.8,67.5,26,3.3,2.8,12.2,43.8,32.8,8.5,2.1,11.2,35.8,38.5,12.4,0.9,11.2,38.4,40.7,8.7
도봉구,1.9,6.4,40.7,39.2,11.7,3.2,8.8,55.4,27.8,4.8,1.7,6.1,56.3,32.3,3.7,0.2,2.7,33.7,54,9.4,1.9,8.9,15.7,69.1,4.3,-,8.6,57,31.4,3,1.4,6.6,24.8,58.2,9,1.9,10.6,37.2,44.2,6.2,0.5,11.8,49.7,31.2,6.8,2.9,14.6,37,37.6,7.9,2.1,14,34.7,37.8,11.4,0.3,2.6,44.3,43.4,9.4
노원구,2.5,4.9,44.4,42.4,5.8,3.7,7.6,52.4,31.2,5.1,1.6,3.1,43.9,45.2,6.2,1,4.5,35.7,47.7,11.2,0.2,5.8,12.2,81.2,0.6,0.7,6.3,51,39.9,2.1,0.8,7,24.6,55.8,11.8,0.8,7.8,38.8,40.2,12.4,0.8,3.5,54,29.9,11.8,2.3,11.8,38.9,37.9,9,1.4,10.5,40.9,35.9,11.2,0.5,4.8,57.7,34,2.9
은평구,5.2,10.4,48.1,32.2,4.1,3.7,10.4,53.5,29.5,2.9,4.2,11.9,49,31.4,3.6,0.4,3.9,30.7,58.1,6.8,0.3,6.5,13.6,78.7,0.9,0.3,9.9,49.2,38.1,2.5,0.9,8,27.4,48.1,15.5,2.4,9.1,49.5,34.5,4.6,1,10.6,47.3,26.7,14.5,2,11.7,45.9,32.1,8.3,2,11.6,45.4,32.6,8.3,0.4,2.9,43.8,40.7,12.2
서대문구,5.2,8.6,50.1,26.9,9.3,2.6,9.7,51.6,33.8,2.3,1.6,10.6,51,35.7,1.1,0.9,7.5,32.3,54.6,4.6,0.3,9.3,13.4,73.3,3.7,0.6,2.6,59,34.9,2.9,1.3,5.8,30.2,48.1,14.5,0.8,7.2,51.5,35.7,4.8,0.1,3.7,51.9,40.7,3.7,1.6,11,39,39.4,9,2.2,9.7,39.2,38.9,10,1.5,8.4,33,51.3,5.8
마포구,6.8,10.5,46.4,29.1,7.2,1.9,13.5,61.4,20.6,2.6,7.4,11.1,48.4,30.6,2.5,1.9,5.4,31.5,49.2,11.9,0.6,11.4,14,72.2,1.8,0.3,3.8,50.1,42.6,3.2,1.9,11.5,29.5,43.1,14,1.2,6.6,32.3,52.4,7.4,0.4,3.4,49.7,41.9,4.6,2.2,12.2,43.2,33.7,8.6,2.5,11.7,34.9,37.6,13.3,2.5,11.9,34.7,45,6
양천구,3.5,5.6,37,41.2,12.7,2.3,14.3,45.3,26.3,11.9,2.4,7.4,46.3,41.6,2.3,0.6,13.8,28,52.3,5.3,1.4,9.6,53.9,29.7,5.3,0.2,2,51.5,40,6.3,0.3,6.7,30.6,44,18.3,0.7,0.7,20.8,77.2,0.7,0.6,2.2,53.7,42.4,1,1.9,11.9,37.1,37.3,11.8,1.6,10.2,41.2,36.5,10.5,0,0.7,78.3,20.9,0
강서구,3.2,12.1,34.9,41.8,7.9,3.5,13.8,50.7,29.8,2.1,5.1,8,51.4,30.5,4.9,5,10.1,43.1,36.8,5,1,5.1,56.8,36.9,0.2,2.7,9.9,46.9,34.7,5.7,1.2,8.1,19.7,55.2,15.8,1.7,17.8,52.2,20.8,7.4,0.8,4.9,52.9,37.1,4.3,2.8,14.7,38.7,32.4,11.4,4,16.2,34.7,35.3,9.8,0.7,5.1,40.5,40.2,13.6
구로구,8,13.8,43.7,26.2,8.3,4.8,15.3,57.8,21,1.1,1.5,14.5,46.4,36.3,1.3,3,4.3,32.6,56,4.1,2.6,10.7,56,28.3,2.5,0.5,6.8,51.8,37.5,3.4,1.5,9.7,31.9,43.4,13.5,2.5,13.9,38.5,32.6,12.5,1.4,9.8,50.9,25.7,12.3,4.6,12.4,38.1,32.9,12,2.6,14.9,40.4,31.6,10.6,1.1,10.6,47.6,32.8,8
금천구,3,25.8,54.9,12.9,3.4,5.3,13.4,50.1,28.2,3,4.5,13.9,56.3,19.5,5.8,7.5,22.5,26.7,42.3,1,0.6,7.5,46.3,44.4,1.2,5.3,7.4,43.2,39.2,5,1.6,6.4,27.7,56.1,8.2,2.3,29.9,29.8,31.3,6.7,4.9,14.9,45,30.7,4.6,4.3,18.1,36.2,34.8,6.7,4.1,12.6,37.5,38.7,7.1,0.2,9,50.6,35.8,4.4
영등포구,9.7,13.3,42.8,29.7,4.5,4.3,17.7,46.9,27.2,3.9,3,15.1,55.1,23.5,3.3,2.8,10,30,45.4,11.9,1.4,4.8,49.6,43,1.2,0.3,6.7,50.6,41.8,0.7,2.2,8.8,27.3,49.6,12.1,4.2,11.9,23.6,56.6,3.8,1.8,12.8,56.3,25.1,4,2.7,13.1,44.6,33.3,6.3,2.8,13.9,39.6,36.1,7.7,0.1,2.4,62.7,25.9,8.9
동작구,6.9,11.4,49,25.9,6.9,1.7,16,50.1,27.3,4.9,0.6,8,53.1,35.1,3.1,0.3,2.4,31.9,60.9,4.5,0.5,2.3,42.1,42.7,12.5,-,5,50.8,38.8,5.3,1.4,8.6,29.2,50.9,9.8,2.7,14.8,57.7,19.8,5,0.1,6.4,60.1,28.1,5.3,3.2,11.5,40,35.9,9.3,2.7,14.5,39,33.2,10.6,0.2,6.2,40.4,45.4,7.9
관악구,3.1,12,53.4,25.9,5.5,5.8,14.7,46.2,26.7,6.5,3,13.1,52.5,29.1,2.2,0.8,8.6,32,54,4.5,1.4,7.4,47.1,38.9,5.3,1.4,10,46.6,41,1,0.6,6.1,30.6,50.1,12.6,2.5,9.4,29.7,50.8,7.5,1.1,12.9,45.6,36.2,4.3,4,12.7,39.4,36.1,7.7,4,12.4,38,32.6,13,0.3,4.6,55.8,33.3,6.1
서초구,5.8,10.1,37.1,35.1,11.9,0.5,7.5,47.2,41.4,3.4,0.7,5.3,47.2,41.7,5,0.5,8,30.5,46.6,14.4,2.8,9.3,36.4,37.9,13.7,-,3,35.3,56.7,5,1.4,7.1,25.3,59.1,7,0.5,9.5,37,50.5,2.5,0.4,10.7,46.8,31.9,10.2,1.4,11.1,38,37.4,12.2,2,12.2,35.2,37.9,12.6,0.3,7,46,38.6,8.2
강남구,3.2,4.8,46.4,36.8,8.8,3,7.8,47,38.8,3.4,6.1,10.3,41.6,30.5,11.5,1.8,4.5,30.6,46.1,17.1,0,0.2,22.2,62.4,15.2,0.4,6.2,38.9,45.5,8.9,1.3,6.9,23.1,58,10.7,0.7,11.3,42.8,39.5,5.7,0.2,8.8,38.5,39.8,12.7,1.5,12.3,33.1,37.5,15.7,2.2,15.3,26.2,42.2,14.1,0.8,2.8,35.8,49.8,10.8
송파구,2.8,6.3,33.3,38.8,18.9,0.5,5.8,42,48.5,3.3,0.3,2.7,49.8,43.1,4,1.1,4.3,32,51.9,10.7,0.5,6.9,24.3,46.6,21.8,0.4,4.4,55.3,38.1,1.9,1.6,9.1,27.2,57.7,4.4,0.3,10.8,31.1,50.5,7.3,0.8,8.3,39,40.5,11.5,1.9,13.5,38.8,33,12.9,1.9,16,32.8,32.8,16.5,1.1,3,44.9,39.9,11.2
강동구,2,6,55.8,30.3,5.9,8.9,16.1,44.1,30,0.8,1.2,8.2,50.2,35.3,5.1,1,15.4,26,50.5,7.1,1.7,6.1,31.5,40.7,19.9,0.6,8.6,47.7,38.1,5,0.9,11.9,32.4,51.3,3.5,6.7,14.8,40,36.4,2.2,0.4,10.1,49.6,33.7,6.2,1.1,15.2,42.5,29.7,11.5,1.8,12.7,44.2,30.8,10.4,0.3,3.6,37.2,50.8,8.3
