소재지,년도,주거환경만족도
종로구,2010,5.97
중구,2010,6.1
용산구,2010,5.56
성동구,2010,5.89
광진구,2010,5.97
동대문구,2010,5.61
중랑구,2010,5.85
성북구,2010,5.98
강북구,2010,6.04
도봉구,2010,5.97
노원구,2010,5.87
은평구,2010,6.03
서대문구,2010,6.26
마포구,2010,5.8
양천구,2010,5.92
강서구,2010,5.94
구로구,2010,6.25
금천구,2010,5.82
영등포구,2010,5.7
동작구,2010,5.82
관악구,2010,5.76
서초구,2010,6.2
강남구,2010,6.36
송파구,2010,5.98
강동구,2010,6.01
종로구,2011,6
중구,2011,5.52
용산구,2011,5.7
성동구,2011,5.55
광진구,2011,6.24
동대문구,2011,5.81
중랑구,2011,5.79
성북구,2011,5.57
강북구,2011,6.08
도봉구,2011,5.92
노원구,2011,6.28
은평구,2011,6.26
서대문구,2011,5.62
마포구,2011,5.79
양천구,2011,6.36
강서구,2011,5.95
구로구,2011,5.97
금천구,2011,6.03
영등포구,2011,6.06
동작구,2011,6.42
관악구,2011,6
서초구,2011,6.63
강남구,2011,7.1
송파구,2011,6.07
강동구,2011,6.49
종로구,2012,5.74
중구,2012,6.2
용산구,2012,6.22
성동구,2012,5.07
광진구,2012,6.46
동대문구,2012,6.12
중랑구,2012,5.91
성북구,2012,5.88
강북구,2012,6.36
도봉구,2012,6.51
노원구,2012,6.26
은평구,2012,6.31
서대문구,2012,6.66
마포구,2012,5.9
양천구,2012,6.4
강서구,2012,6.22
구로구,2012,6.3
금천구,2012,6.1
영등포구,2012,6.37
동작구,2012,6.8
관악구,2012,6.37
서초구,2012,6.78
강남구,2012,6.25
송파구,2012,6.23
강동구,2012,6.34
종로구,2013,6.05
중구,2013,6.55
용산구,2013,6.1
성동구,2013,6.17
광진구,2013,6.45
동대문구,2013,5.7
중랑구,2013,6.25
성북구,2013,7.08
강북구,2013,6.73
도봉구,2013,6.25
노원구,2013,5.97
은평구,2013,6.65
서대문구,2013,5.9
마포구,2013,6.23
양천구,2013,6.21
강서구,2013,6.19
구로구,2013,6.16
금천구,2013,6.09
영등포구,2013,6.68
동작구,2013,6.92
관악구,2013,6.77
서초구,2013,7.01
강남구,2013,6.74
송파구,2013,6.65
강동구,2013,6.49
종로구,2014,6.77
중구,2014,5.57
용산구,2014,5.47
성동구,2014,6.03
광진구,2014,6.19
동대문구,2014,5.23
중랑구,2014,6.08
성북구,2014,6.43
강북구,2014,5.78
도봉구,2014,6.17
노원구,2014,6.26
은평구,2014,6.12
서대문구,2014,6.18
마포구,2014,6.15
양천구,2014,6.41
강서구,2014,6.13
구로구,2014,6.32
금천구,2014,5.83
영등포구,2014,5.7
동작구,2014,6.37
관악구,2014,6.08
서초구,2014,6.85
강남구,2014,6.35
송파구,2014,5.96
강동구,2014,6.25
종로구,2015,6.48
중구,2015,5.96
용산구,2015,5.5
성동구,2015,6
광진구,2015,6.28
동대문구,2015,5.54
중랑구,2015,6.24
성북구,2015,6.29
강북구,2015,6.16
도봉구,2015,6.41
노원구,2015,5.99
은평구,2015,6.32
서대문구,2015,5.93
마포구,2015,6.26
양천구,2015,6.27
강서구,2015,6.31
구로구,2015,6.19
금천구,2015,6.33
영등포구,2015,6.26
동작구,2015,6.1
관악구,2015,6.19
서초구,2015,6.32
강남구,2015,6.23
송파구,2015,6.03
강동구,2015,6.06
종로구,2016,6.11
중구,2016,6.43
용산구,2016,5.98
성동구,2016,6.09
광진구,2016,6.01
동대문구,2016,6.13
중랑구,2016,5.77
성북구,2016,6.05
강북구,2016,5.94
도봉구,2016,6.25
노원구,2016,6.14
은평구,2016,6.41
서대문구,2016,6.06
마포구,2016,5.93
양천구,2016,6.02
강서구,2016,6.13
구로구,2016,6.36
금천구,2016,6.24
영등포구,2016,6.11
동작구,2016,6.25
관악구,2016,6.2
서초구,2016,6.5
강남구,2016,6.33
송파구,2016,6.26
강동구,2016,6.33
종로구,2017,5.97
중구,2017,6.07
용산구,2017,5.86
성동구,2017,6.02
광진구,2017,6.11
동대문구,2017,5.97
중랑구,2017,6.04
성북구,2017,5.9
강북구,2017,6.18
도봉구,2017,6.34
노원구,2017,6.27
은평구,2017,6.25
서대문구,2017,6.09
마포구,2017,5.96
양천구,2017,5.94
강서구,2017,6.2
구로구,2017,6.19
금천구,2017,5.97
영등포구,2017,6.4
동작구,2017,6.3
관악구,2017,6.45
서초구,2017,6.38
강남구,2017,6.57
송파구,2017,6.23
강동구,2017,6.25
종로구,2018,5.83
중구,2018,5.94
용산구,2018,6.53
성동구,2018,6.02
광진구,2018,6.13
동대문구,2018,6
중랑구,2018,5.98
성북구,2018,6.04
강북구,2018,6.19
도봉구,2018,6.32
노원구,2018,6.05
은평구,2018,6.28
서대문구,2018,6.02
마포구,2018,6.43
양천구,2018,6.03
강서구,2018,6.34
구로구,2018,6.39
금천구,2018,6.14
영등포구,2018,6.15
동작구,2018,6.34
관악구,2018,6.18
서초구,2018,6.52
강남구,2018,6.53
송파구,2018,6.63
강동구,2018,6.37
종로구,2019,6.43
중구,2019,6.39
용산구,2019,6.16
성동구,2019,6.47
광진구,2019,6.68
동대문구,2019,6.43
중랑구,2019,6.39
성북구,2019,5.99
강북구,2019,6.2
도봉구,2019,6.45
노원구,2019,6.07
은평구,2019,6.19
서대문구,2019,6.38
마포구,2019,6.69
양천구,2019,6.44
강서구,2019,6.11
구로구,2019,6.63
금천구,2019,6.08
영등포구,2019,6.34
동작구,2019,6.54
관악구,2019,6.71
서초구,2019,6.65
강남구,2019,6.4
송파구,2019,6.67
강동구,2019,6.09
종로구,2020,6.1
중구,2020,6.43
용산구,2020,6.41
성동구,2020,6.3
광진구,2020,6.03
동대문구,2020,6.1
중랑구,2020,6.52
성북구,2020,6.45
강북구,2020,6.22
도봉구,2020,6.31
노원구,2020,6.41
은평구,2020,6.37
서대문구,2020,6.21
마포구,2020,6.44
양천구,2020,6.29
강서구,2020,6.37
구로구,2020,6.59
금천구,2020,6.32
영등포구,2020,6.38
동작구,2020,6.27
관악구,2020,6.16
서초구,2020,6.59
강남구,2020,6.44
송파구,2020,6.48
강동구,2020,6.57
종로구,2021,6.48
중구,2021,6.53
용산구,2021,6.28
성동구,2021,6.53
광진구,2021,6.29
동대문구,2021,6.37
중랑구,2021,6.24
성북구,2021,6.48
강북구,2021,6.47
도봉구,2021,6.31
노원구,2021,6.49
은평구,2021,6.4
서대문구,2021,6.5
마포구,2021,6.59
양천구,2021,6.27
강서구,2021,6.32
구로구,2021,6.42
금천구,2021,6.45
영등포구,2021,6.43
동작구,2021,6.34
관악구,2021,6.32
서초구,2021,6.55
강남구,2021,6.54
송파구,2021,6.51
강동구,2021,6.27
종로구,2022,7.3
중구,2022,6.91
용산구,2022,6.82
성동구,2022,7.39
광진구,2022,6.93
동대문구,2022,7.24
중랑구,2022,6.7
성북구,2022,7.1
강북구,2022,7.72
도봉구,2022,6.79
노원구,2022,8.51
은평구,2022,6.97
서대문구,2022,7.37
마포구,2022,7.13
양천구,2022,6.83
강서구,2022,7.25
구로구,2022,7.1
금천구,2022,7.02
영등포구,2022,5.74
동작구,2022,7.33
관악구,2022,7.36
서초구,2022,7.62
강남구,2022,7.11
송파구,2022,7.58
강동구,2022,7.28
